STATION,STATION_NAME,DATE,TMAX,TMIN
GHCND:UKM00003334,MANCHESTER UK,20001201,138,-9999
GHCND:UKM00003334,MANCHESTER UK,20001202,114,-9999
GHCND:UKM00003334,MANCHESTER UK,20001203,97,56
GHCND:UKM00003334,MANCHESTER UK,20001204,-9999,83
GHCND:UKM00003334,MANCHESTER UK,20001205,140,-9999
GHCND:UKM00003334,MANCHESTER UK,20001206,114,-9999
GHCND:UKM00003334,MANCHESTER UK,20001207,-9999,64
GHCND:UKM00003334,MANCHESTER UK,20001209,102,-9999
GHCND:UKM00003334,MANCHESTER UK,20001211,133,63
GHCND:UKM00003334,MANCHESTER UK,20001212,137,-9999
GHCND:UKM00003334,MANCHESTER UK,20001215,52,5
GHCND:UKM00003334,MANCHESTER UK,20001217,-9999,-13
GHCND:UKM00003334,MANCHESTER UK,20001218,64,15
GHCND:UKM00003334,MANCHESTER UK,20001219,-9999,15
GHCND:UKM00003334,MANCHESTER UK,20001222,80,-9999
GHCND:UKM00003334,MANCHESTER UK,20001223,-9999,-9
GHCND:UKM00003334,MANCHESTER UK,20001224,-9999,33
GHCND:UKM00003334,MANCHESTER UK,20001227,32,-9999
GHCND:UKM00003334,MANCHESTER UK,20001228,3,-9999
GHCND:UKM00003334,MANCHESTER UK,20001231,-9999,-38
GHCND:UKM00003334,MANCHESTER UK,20010101,94,22
GHCND:UKM00003334,MANCHESTER UK,20010104,81,-9999
GHCND:UKM00003334,MANCHESTER UK,20010105,66,-9999
GHCND:UKM00003334,MANCHESTER UK,20010106,-9999,5
GHCND:UKM00003334,MANCHESTER UK,20010107,74,-9999
GHCND:UKM00003334,MANCHESTER UK,20010108,72,-9999
GHCND:UKM00003334,MANCHESTER UK,20010109,46,-3
GHCND:UKM00003334,MANCHESTER UK,20010110,-9999,9
GHCND:UKM00003334,MANCHESTER UK,20010111,-9999,29
GHCND:UKM00003334,MANCHESTER UK,20010112,66,-9999
GHCND:UKM00003334,MANCHESTER UK,20010114,56,2
GHCND:UKM00003334,MANCHESTER UK,20010115,41,-9999
GHCND:UKM00003334,MANCHESTER UK,20010116,14,-9999
GHCND:UKM00003334,MANCHESTER UK,20010117,46,-53
GHCND:UKM00003334,MANCHESTER UK,20010118,10,-30
GHCND:UKM00003334,MANCHESTER UK,20010119,-9999,-43
GHCND:UKM00003334,MANCHESTER UK,20010120,31,-12
GHCND:UKM00003334,MANCHESTER UK,20010121,32,-3
GHCND:UKM00003334,MANCHESTER UK,20010122,83,18
GHCND:UKM00003334,MANCHESTER UK,20010124,85,-9999
GHCND:UKM00003334,MANCHESTER UK,20010125,84,-9999
GHCND:UKM00003334,MANCHESTER UK,20010126,63,-9999
GHCND:UKM00003334,MANCHESTER UK,20010127,72,8
GHCND:UKM00003334,MANCHESTER UK,20010128,32,-20
GHCND:UKM00003334,MANCHESTER UK,20010129,-9999,-4
GHCND:UKM00003334,MANCHESTER UK,20010130,-9999,13
GHCND:UKM00003334,MANCHESTER UK,20010131,53,-9999
GHCND:UKM00003334,MANCHESTER UK,20010201,-9999,-20
GHCND:UKM00003334,MANCHESTER UK,20010202,-9999,22
GHCND:UKM00003334,MANCHESTER UK,20010203,72,49
GHCND:UKM00003334,MANCHESTER UK,20010205,83,24
GHCND:UKM00003334,MANCHESTER UK,20010206,108,60
GHCND:UKM00003334,MANCHESTER UK,20010207,100,-9999
GHCND:UKM00003334,MANCHESTER UK,20010209,60,-36
GHCND:UKM00003334,MANCHESTER UK,20010210,-9999,0
